Class,Subject/Discipline,Chapter Number,Chapter Name
Class 6,Mathematics,1,Knowing Our Numbers
Class 6,Mathematics,2,Whole Numbers
Class 6,Mathematics,3,Playing With Numbers
Class 6,Mathematics,4,Basic Geometrical Ideas
Class 6,Mathematics,5,Understanding Elementary Shapes
Class 6,Mathematics,6,Integers
Class 6,Mathematics,7,Fractions
Class 6,Mathematics,8,Decimals
Class 6,Mathematics,9,Data Handling
Class 6,Mathematics,10,Mensuration
Class 6,Mathematics,11,Algebra
Class 6,Mathematics,12,Ratio and Proportion
Class 6,Science,1,Components of Food
Class 6,Science,2,Sorting Materials into Groups
Class 6,Science,3,Separation of Substances
Class 6,Science,4,Getting to Know Plants
Class 6,Science,5,Body Movements
Class 6,Science,6,The Living Organisms and Their Surroundings
Class 6,Science,7,Motion and Measurement of Distances
Class 6,Science,8,Light Shadows and Reflections
Class 6,Science,9,Electricity and Circuits
Class 6,Science,10,Fun with Magnets
Class 6,Science,11,Air Around Us
Class 6,Social Science - History,1,What Where How and When?
Class 6,Social Science - History,2,From Hunting-Gathering to Growing Food
Class 6,Social Science - History,3,In the Earliest Cities
Class 6,Social Science - History,4,What Books and Burials Tell Us
Class 6,Social Science - History,5,Kingdoms Kings and an Early Republic
Class 6,Social Science - History,6,New Questions and Ideas
Class 6,Social Science - History,7,From a Kingdom to an Empire
Class 6,Social Science - History,8,Villages Towns and Trade
Class 6,Social Science - History,9,New Empires and Kingdoms
Class 6,Social Science - History,10,Buildings Paintings and Books
Class 6,Social Science - Geography,1,The Earth in the Solar System
Class 6,Social Science - Geography,2,Globe: Latitudes and Longitudes
Class 6,Social Science - Geography,3,Motions of the Earth
Class 6,Social Science - Geography,4,Maps
Class 6,Social Science - Geography,5,Major Domains of the Earth
Class 6,Social Science - Geography,6,Our Country - India
Class 6,Social Science - Civics,1,Understanding Diversity
Class 6,Social Science - Civics,2,Diversity and Discrimination
Class 6,Social Science - Civics,3,What is Government?
Class 6,Social Science - Civics,4,Panchayati Raj
Class 6,Social Science - Civics,5,Rural Administration
Class 6,Social Science - Civics,6,Urban Administration
Class 6,Social Science - Civics,7,Rural Livelihoods
Class 6,Social Science - Civics,8,Urban Livelihoods
Class 6,English (Honeysuckle),1,Who Did Patrick's Homework?
Class 6,English (Honeysuckle),2,How the Dog Found Himself a New Master!
Class 6,English (Honeysuckle),3,Taro's Reward
Class 6,English (Honeysuckle),4,An Indian - American Woman in Space: Kalpana Chawla
Class 6,English (Honeysuckle),5,A Different Kind of School
Class 6,English (Honeysuckle),6,Who I Am
Class 6,English (Honeysuckle),7,Fair Play
Class 6,English (Honeysuckle),8,A Game of Chance
Class 6,English (Honeysuckle),9,Desert Animals
Class 6,English (Honeysuckle),10,The Banyan Tree
Class 6,English (A Pact with the Sun),1,A Tale of Two Birds
Class 6,English (A Pact with the Sun),2,The Friendly Mongoose
Class 6,English (A Pact with the Sun),3,The Shepherd's Treasure
Class 6,English (A Pact with the Sun),4,The Old-Clock Shop
Class 6,English (A Pact with the Sun),5,Tansen
Class 6,English (A Pact with the Sun),6,The Monkey and the Crocodile
Class 6,English (A Pact with the Sun),7,The Wonder Called Sleep
Class 6,English (A Pact with the Sun),8,A Pact with the Sun
Class 6,English (A Pact with the Sun),9,What Happened to the Reptiles
Class 6,English (A Pact with the Sun),10,A Strange Wrestling Match
Class 6,Hindi (Vasant),1,वह चिड़िया जो
Class 6,Hindi (Vasant),2,बचपन
Class 6,Hindi (Vasant),3,नादान दोस्त
Class 6,Hindi (Vasant),4,चाँद से थोड़ी-सी गप्पें
Class 6,Hindi (Vasant),5,अक्षरों का महत्व
Class 6,Hindi (Vasant),6,पार नज़र के
Class 6,Hindi (Vasant),7,साथी हाथ बढ़ाना
Class 6,Hindi (Vasant),8,ऐसे-ऐसे
Class 6,Hindi (Vasant),9,टिकट अलबम
Class 6,Hindi (Vasant),10,झाँसी की रानी
Class 6,Hindi (Vasant),11,जो देखकर भी नहीं देखते
Class 6,Hindi (Vasant),12,संसार पुस्तक है
Class 6,Hindi (Vasant),13,मैं सबसे छोटी होऊँ
Class 6,Hindi (Vasant),14,लोकगीत
Class 6,Hindi (Vasant),15,नौकर
Class 6,Hindi (Vasant),16,वन के मार्ग में
Class 6,Hindi (Vasant),17,साँस-साँस में बाँस
Class 7,Mathematics,1,Integers
Class 7,Mathematics,2,Fractions and Decimals
Class 7,Mathematics,3,Data Handling
Class 7,Mathematics,4,Simple Equations
Class 7,Mathematics,5,Lines and Angles
Class 7,Mathematics,6,The Triangle and its Properties
Class 7,Mathematics,7,Congruence of Triangles
Class 7,Mathematics,8,Comparing Quantities
Class 7,Mathematics,9,Rational Numbers
Class 7,Mathematics,10,Practical Geometry
Class 7,Mathematics,11,Perimeter and Area
Class 7,Mathematics,12,Algebraic Expressions
Class 7,Mathematics,13,Exponents and Powers
Class 7,Mathematics,14,Symmetry
Class 7,Mathematics,15,Visualising Solid Shapes
Class 7,Science,1,Nutrition in Plants
Class 7,Science,2,Nutrition in Animals
Class 7,Science,3,Heat
Class 7,Science,4,Acids Bases and Salts
Class 7,Science,5,Physical and Chemical Changes
Class 7,Science,6,Respiration in Organisms
Class 7,Science,7,Transportation in Animals and Plants
Class 7,Science,8,Reproduction in Plants
Class 7,Science,9,Motion and Time
Class 7,Science,10,Electric Current and its Effects
Class 7,Science,11,Light
Class 7,Science,12,Forests: Our Lifeline
Class 7,Science,13,Wastewater Story
Class 7,Social Science - History,1,Introduction: Tracing Changes Through a Thousand Years
Class 7,Social Science - History,2,New Kings and Kingdoms
Class 7,Social Science - History,3,Delhi: 12th to 15th Century
Class 7,Social Science - History,4,The Mughals (16th to 17th Century)
